Income,Area,Employed,Home Owner,Make,Model,Gender,Age,Colour,Stolen
5500,URBAN,0,1,MERCEDES,C CLASS,0,25,BLACK,0
37650,RURAL,1,1,MERCEDES,C CLASS,1,53,BLACK,1
11250,RURAL,0,1,TOYOTA,PRIUS,1,25,RED,0
0,RURAL,0,1,SEAT,LEON,1,25,GREEN,0
55600,RURAL,0,1,MERCEDES,C CLASS,0,32,GREY,1
46530,RURAL,1,1,BMW,3 SERIES,0,32,GREY,1
22450,RURAL,1,1,TOYOTA,PRIUS,0,25,PINK,0
8650,URBAN,0,0,TOYOTA,AYGO,1,21,RED,0
37650,RURAL,0,1,BMW,3 SERIES,1,25,WHITE,1
47650,RURAL,1,1,BMW,3 SERIES,0,34,GREY,1
12345,URBAN,0,0,MERCEDES,A  CLASS,0,25,RED,0
76300,RURAL,1,1,MERCEDES,C CLASS,0,28,GREY,1
12340,URBAN,0,0,AUDI,A1,1,28,RED,0
150600,RURAL,1,1,BMW,3 SERIES,1,54,BLACK,1
38900,RURAL,1,1,TOYOTA,PRIUS,1,28,RED,0
15000,URBAN,0,0,TOYOTA,PRIUS,1,65,RED,0
86550,RURAL,1,1,BMW,3 SERIES,0,45,BLACK,1
52000,RURAL,1,1,MERCEDES,C CLASS,1,35,GREY,1
45000,RURAL,1,1,BMW,3 SERIES,0,25,WHITE,1
12300,URBAN,0,0,FIAT,PUNTO,1,18,RED,0
35200,RURAL,1,1,PEUGEOT,107,0,25,YELLOW,0
12340,URBAN,0,0,CITROEN,C1,1,26,RED,0
63225,RURAL,1,1,BMW,3 SERIES,1,43,WHITE,1
32450,RURAL,0,0,PEUGEOT,107,1,25,PURPLE,0
31240,URBAN,0,1,TOYOTA,AYGO,1,52,GREEN,0
21500,URBAN,1,0,SEAT,LEON,0,25,RED,0
45050,RURAL,1,1,AUDI,A4,0,43,YELLOW,0
11250,URBAN,0,1,AUDI,A3,0,46,BLUE,0
74500,RURAL,1,1,MERCEDES,C CLASS,1,23,WHITE,1
156000,RURAL,0,1,BMW,3 SERIES,0,45,BLACK,1
46530,URBAN,0,0,AUDI,A7,1,21,RED,0
42450,RURAL,1,1,MERCEDES,C CLASS,2,27,GREY,1
45000,RURAL,0,1,MERCEDES,C CLASS,1,43,WHITE,1
12300,RURAL,0,1,PEUGEOT,207,1,23,WHITE,0
53200,RURAL,1,1,BMW,3 SERIES,0,34,GREY,1
45500,RURAL,1,1,MERCEDES,C CLASS,0,33,BLACK,1
32250,URBAN,1,0,FIAT,PUNTO,1,52,BLACK,0
15230,RURAL,1,1,TOYOTA,COROLLA,1,32,BLUE,0
48459,RURAL,0,1,MERCEDES,C CLASS,0,26,WHITE,1
34560,URBAN,0,1,TOYOTA,PRIUS,2,32,WHITE,0
43235,URBAN,1,1,TOYOTA,PRIUS,0,34,BLUE,0
43250,RURAL,1,1,PEUGEOT,107,0,34,BLACK,0
43560,RURAL,1,1,MERCEDES,C CLASS,1,27,WHITE,1
12500,URBAN,0,0,TOYOTA,AURIS,0,25,YELLOW,0
75300,RURAL,1,1,BMW,3 SERIES,1,25,BLACK,1
12340,RURAL,0,1,MERCEDES,C CLASS,0,25,GREY,1
150600,RURAL,1,1,BMW,3 SERIES,0,19,WHITE,0
43000,RURAL,1,1,PEUGEOT,107,1,55,BLACK,0
5000,RURAL,1,1,PEUGEOT,107,0,54,YELLOW,0
46550,URBAN,1,0,TOYOTA,PRIUS,1,32,RED,0
78450,RURAL,1,1,BMW,3 SERIES,2,32,GREY,1
54350,RURAL,0,1,BMW,3 SERIES,0,45,BLACK,1
42130,RURAL,1,1,FORD,KIA,1,28,RED,0
52340,RURAL,0,1,BMW,2 SERIES,1,54,GREY,0
63225,URBAN,1,1,MERCEDES,C CLASS,1,32,GREY,1
43000,RURAL,0,1,MERCEDES,C CLASS,0,42,WHITE,1
54350,URBAN,0,1,BMW,3 SERIES,0,23,BLACK,0
39600,RURAL,1,1,BMW,3 SERIES,1,45,BLACK,1
45000,RURAL,1,1,MERCEDES,C CLASS,1,32,GREY,1
12300,RURAL,0,0,PEUGEOT,207,1,23,WHITE,0
55200,RURAL,0,1,BMW,3 SERIES,0,27,WHITE,1
45500,URBAN,1,1,VOLKSWAGON,POLO,0,33,BLACK,0
32250,URBAN,1,0,PEUGEOT,107,1,52,BLACK,0
64230,RURAL,1,1,BMW,3 SERIES,1,32,WHITE,1
47980,RURAL,0,1,MERCEDES,C CLASS,1,43,BLACK,1
3560,URBAN,0,1,TOYOTA,PRIUS,2,32,WHITE,0
43235,URBAN,0,0,TOYOTA,COROLLA,1,34,PINK,0
52350,RURAL,0,1,PEUGEOT,307,2,32,BLACK,0
43560,RURAL,1,1,MERCEDES,C CLASS,1,27,WHITE,1
41230,RURAL,0,1,MERCEDES,C CLASS,1,37,WHITE,1
54560,RURAL,0,1,BMW,2 SERIES,0,32,YELLOW,0
46540,RURAL,0,1,FIAT,PUNTO,1,32,RED,0
5450,RURAL,1,1,VOLKSWAGON,POLO,0,54,BLACK,0
84500,URBAN,1,1,BMW,3 SERIES,1,32,GREY,0
